period,entity_code,series_key,frequency,value
2019Q1,USA,DATASET|USA|POLICY_RATE,Q,2.76
2019Q2,USA,DATASET|USA|POLICY_RATE,Q,2.77
2019Q3,USA,DATASET|USA|POLICY_RATE,Q,2.78
2019Q4,USA,DATASET|USA|POLICY_RATE,Q,2.79
2000Q1,USA,DATASET|USA|REAL_GDP,Q,1000.0
2000Q2,USA,DATASET|USA|REAL_GDP,Q,1010.0
2000Q3,USA,DATASET|USA|REAL_GDP,Q,1020.0
2000Q4,USA,DATASET|USA|REAL_GDP,Q,1030.0
2001Q1,USA,DATASET|USA|REAL_GDP,Q,1040.0
2001Q2,USA,DATASET|USA|REAL_GDP,Q,1050.0
2001Q3,USA,DATASET|USA|REAL_GDP,Q,1060.0
2001Q4,USA,DATASET|USA|REAL_GDP,Q,1070.0
2002Q1,USA,DATASET|USA|REAL_GDP,Q,1080.0
2002Q2,USA,DATASET|USA|REAL_GDP,Q,1090.0
2002Q3,USA,DATASET|USA|REAL_GDP,Q,1100.0
2002Q4,USA,DATASET|USA|REAL_GDP,Q,1110.0
2003Q1,USA,DATASET|USA|REAL_GDP,Q,1120.0
2003Q2,USA,DATASET|USA|REAL_GDP,Q,1130.0
2003Q3,USA,DATASET|USA|REAL_GDP,Q,1140.0
2003Q4,USA,DATASET|USA|REAL_GDP,Q,1150.0
2004Q1,USA,DATASET|USA|REAL_GDP,Q,1160.0
2004Q2,USA,DATASET|USA|REAL_GDP,Q,1170.0
2004Q3,USA,DATASET|USA|REAL_GDP,Q,1180.0
2004Q4,USA,DATASET|USA|REAL_GDP,Q,1190.0
2005Q1,USA,DATASET|USA|REAL_GDP,Q,1200.0
2005Q2,USA,DATASET|USA|REAL_GDP,Q,1210.0
2005Q3,USA,DATASET|USA|REAL_GDP,Q,1220.0
2005Q4,USA,DATASET|USA|REAL_GDP,Q,1230.0
2006Q1,USA,DATASET|USA|REAL_GDP,Q,1240.0
2006Q2,USA,DATASET|USA|REAL_GDP,Q,1250.0
2006Q3,USA,DATASET|USA|REAL_GDP,Q,1260.0
2006Q4,USA,DATASET|USA|REAL_GDP,Q,1270.0
2007Q1,USA,DATASET|USA|REAL_GDP,Q,1280.0
2007Q2,USA,DATASET|USA|REAL_GDP,Q,1290.0
2007Q3,USA,DATASET|USA|REAL_GDP,Q,1300.0
2007Q4,USA,DATASET|USA|REAL_GDP,Q,1310.0
2008Q1,USA,DATASET|USA|REAL_GDP,Q,1320.0
2008Q2,USA,DATASET|USA|REAL_GDP,Q,1330.0
2008Q3,USA,DATASET|USA|REAL_GDP,Q,1340.0
2008Q4,USA,DATASET|USA|REAL_GDP,Q,1350.0
2009Q1,USA,DATASET|USA|REAL_GDP,Q,1360.0
2009Q2,USA,DATASET|USA|REAL_GDP,Q,1370.0
2009Q3,USA,DATASET|USA|REAL_GDP,Q,1380.0
2009Q4,USA,DATASET|USA|REAL_GDP,Q,1390.0
2010Q1,USA,DATASET|USA|REAL_GDP,Q,1400.0
2010Q2,USA,DATASET|USA|REAL_GDP,Q,1410.0
2010Q3,USA,DATASET|USA|REAL_GDP,Q,1420.0
2010Q4,USA,DATASET|USA|REAL_GDP,Q,1430.0
2011Q1,USA,DATASET|USA|REAL_GDP,Q,1440.0
2011Q2,USA,DATASET|USA|REAL_GDP,Q,1450.0
2011Q3,USA,DATASET|USA|REAL_GDP,Q,1460.0
2011Q4,USA,DATASET|USA|REAL_GDP,Q,1470.0
2012Q1,USA,DATASET|USA|REAL_GDP,Q,1480.0
2012Q2,USA,DATASET|USA|REAL_GDP,Q,1490.0
2012Q3,USA,DATASET|USA|REAL_GDP,Q,1500.0
2012Q4,USA,DATASET|USA|REAL_GDP,Q,1510.0
2013Q1,USA,DATASET|USA|REAL_GDP,Q,1520.0
2013Q2,USA,DATASET|USA|REAL_GDP,Q,1530.0
2013Q3,USA,DATASET|USA|REAL_GDP,Q,1540.0
2013Q4,USA,DATASET|USA|REAL_GDP,Q,1550.0
2014Q1,USA,DATASET|USA|REAL_GDP,Q,1560.0
2014Q2,USA,DATASET|USA|REAL_GDP,Q,1570.0
2014Q3,USA,DATASET|USA|REAL_GDP,Q,1580.0
2014Q4,USA,DATASET|USA|REAL_GDP,Q,1590.0
2015Q1,USA,DATASET|USA|REAL_GDP,Q,1600.0
2015Q2,USA,DATASET|USA|REAL_GDP,Q,1610.0
2015Q3,USA,DATASET|USA|REAL_GDP,Q,1620.0
2015Q4,USA,DATASET|USA|REAL_GDP,Q,1630.0
2016Q1,USA,DATASET|USA|REAL_GDP,Q,1640.0
2016Q2,USA,DATASET|USA|REAL_GDP,Q,1650.0
2016Q3,USA,DATASET|USA|REAL_GDP,Q,1660.0
2016Q4,USA,DATASET|USA|REAL_GDP,Q,1670.0
2017Q1,USA,DATASET|USA|REAL_GDP,Q,1680.0
2017Q2,USA,DATASET|USA|REAL_GDP,Q,1690.0
2017Q3,USA,DATASET|USA|REAL_GDP,Q,1700.0
2017Q4,USA,DATASET|USA|REAL_GDP,Q,1710.0
2018Q1,USA,DATASET|USA|REAL_GDP,Q,1720.0
2018Q2,USA,DATASET|USA|REAL_GDP,Q,1730.0
2018Q3,USA,DATASET|USA|REAL_GDP,Q,1740.0
2018Q4,USA,DATASET|USA|REAL_GDP,Q,1750.0
2019Q1,USA,DATASET|USA|REAL_GDP,Q,1760.0
2019Q2,USA,DATASET|USA|REAL_GDP,Q,1770.0
2019Q3,USA,DATASET|USA|REAL_GDP,Q,1780.0
2019Q4,USA,DATASET|USA|REAL_GDP,Q,1790.0
